country,year,EG.ELC.RNEW.ZS,EG.FEC.RNEW.ZS,EG.ELC.ACCS.ZS,EG.USE.ELEC.KH.PC,NY.GDP.PCAP.CD,NY.GDP.MKTP.KD.ZG,GB.XPD.RSDV.GD.ZS,IE.PPI.ENGY.CD,renewable_adoption_score
Afghanistan,2010,85.9865470852018,15.2,42.7,,562.499221552971,14.3624414710737,,19000000.0,57.67192825112108
Afghanistan,2011,82.4875621890547,12.6,43.2,,608.738850364613,0.426354776777345,,19000000.0,54.53253731343282
Afghanistan,2012,85.9099804305284,15.4,69.1,,653.417474910283,12.7522870926697,,19000000.0,57.70598825831705
Afghanistan,2013,78.6364080993837,16.9,68.0,,638.73318101404,5.60074465863221,,19000000.0,53.941844859630216
Afghanistan,2014,85.3235490326885,19.1,89.5,,626.512929086139,2.72454336219565,,19000000.0,58.8341294196131
Afghanistan,2015,86.0501112508465,17.7,71.5,,566.881129708434,1.45131466066431,,19000000.0,58.7100667505079
Afghanistan,2016,86.0501112508465,20.2,97.7,,523.053011984748,2.26031420279821,,19000000.0,59.7100667505079
Afghanistan,2017,86.0501112508465,19.5,97.7,,526.140801025756,2.6470032027451,,19000000.0,59.430066750507905
Afghanistan,2018,86.0501112508465,18.3,93.4,,492.090630986151,1.18922812944517,,19000000.0,58.9500667505079
Afghanistan,2019,86.0501112508465,18.9,97.7,,497.741431256813,3.91160341625552,,190490000.0,59.1900667505079
Afghanistan,2020,86.0501112508465,18.2,97.7,,512.055098005672,-2.35110067203466,,190490000.0,58.9100667505079
Afghanistan,2021,86.0501112508465,20.0,97.7,,355.777826392648,-2.35110067203466,,190490000.0,59.6300667505079
Afghanistan,2022,86.0501112508465,20.0,85.3,,352.603733092107,-6.24017199240269,,190490000.0,59.6300667505079
Africa Eastern and Southern,2010,21.1629993280905,63.0998368387508,27.4020143563805,734.305770843244,1622.68409299336,5.23377797192232,0.586981535422348,,37.93773433235462
Africa Eastern and Southern,2011,21.3237793496936,63.1246524339127,28.9115937315653,734.822807511632,1757.99840406352,4.06901977125888,0.586981535422348,,38.04412858338124
Africa Eastern and Southern,2012,21.795825040308,61.7183967592541,31.6660384230917,697.657989403853,1724.20405261091,1.75621020352889,0.586981535422348,,37.76485372788644
Africa Eastern and Southern,2013,22.7326039395982,61.0826852828279,31.7030572419482,691.958089786635,1696.35603961321,4.25034509905811,0.586981535422348,,38.07263647689008
Africa Eastern and Southern,2014,24.9665894302136,61.499576835816,31.860474023504,680.1499426465,1678.55360976878,3.98318178416663,0.586981535422348,,39.57978439245456
Africa Eastern and Southern,2015,25.6758787545077,62.1283378931582,33.9038001286462,680.1499426465,1498.80508358802,3.01157198178016,0.586981535422348,,40.2568624099679
Africa Eastern and Southern,2016,25.6758787545077,62.4576883595774,38.8546244221511,680.1499426465,1346.30128120779,2.18358078096774,0.586981535422348,,40.38860259653558
Africa Eastern and Southern,2017,25.6758787545077,61.8911318801459,40.199898068195,680.1499426465,1485.7535786147,2.65139974202668,0.586981535422348,,40.16198000476298
Africa Eastern and Southern,2018,25.6758787545077,62.2426314030968,43.0171479832647,680.1499426465,1558.61207925907,2.681718104162,0.586981535422348,,40.30257981394334
Africa Eastern and Southern,2019,25.6758787545077,63.3870896989865,44.3812594428681,680.1499426465,1508.48688648948,2.18925928385238,0.586981535422348,,40.76036313229922
Africa Eastern and Southern,2020,25.6758787545077,66.1234486957514,46.2648745577187,680.1499426465,1356.08887141531,-2.78037855183037,0.586981535422348,,41.85490673100519
Africa Eastern and Southern,2021,25.6758787545077,66.1234486957514,48.100862134193,680.1499426465,1545.95669660381,4.49737998264359,0.586981535422348,,41.85490673100519
Africa Eastern and Southern,2022,25.6758787545077,66.1234486957514,48.7119945935567,680.1499426465,1642.43203899493,3.55442232938942,0.586981535422348,,41.85490673100519
Africa Western and Central,2010,38.5470844098241,80.9395137178094,41.8381617761297,162.667269595437,1680.141063273,6.97060061867415,,3970860000.0,55.504056133018224
Africa Western and Central,2011,37.7036499888252,79.5769126675124,45.9148949238898,172.510603773753,1861.53730345913,4.8492890112086,,3970860000.0,54.452955060300084
Africa Western and Central,2012,36.0379350990554,78.8868764432574,44.0499000080943,182.722163501007,1958.07740299649,5.13543221769829,,3970860000.0,53.177511636736206
Africa Western and Central,2013,35.1638636501873,77.1379412154111,47.0584759639952,178.422404275738,2154.31508352123,6.10661028218607,,3970860000.0,51.95349467627682
Africa Western and Central,2014,34.5661459313632,76.1358024948566,47.6625364866446,183.440206477506,2248.51842565537,5.92558281954024,,3970860000.0,51.194008556760565
